"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /students",233,830,1400,1700,1800,2000,2200,3000,3200,3800
"Total",233,830,1400,1700,1800,2000,2200,3000,3200,3800
