"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /students",191,170,200,220,230,280,300,340,350,1600
"POST : new student",410,9,11,15,16,17,18,21,22,34
"DELETE : remove student",141,9,10,11,14,16,18,19,19,33
"GET : single student",162,7,7,8,8,9,10,11,13,15
"PUT : update student",118,9,10,14,15,17,18,19,20,22
"Total",1022,9,15,17,20,170,220,270,300,1600
