"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /students",472,1300,2200,2900,3300,4200,5100,5700,6300,7300
"POST : new student",1005,9,11,14,18,86,350,820,1200,1800
"DELETE : remove student",438,8,11,17,38,300,710,1200,1300,2000
"GET : single student",456,10,15,32,63,470,830,1000,1300,1800
"PUT : update student",423,9,10,12,15,83,480,1000,1300,2000
"Total",2794,10,22,170,420,1200,2600,4000,5000,7300
