"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /students/register",239,12,23,1000,1100,1500,1500,1600,1600,13000
"Total",239,12,23,1000,1100,1500,1500,1600,1600,13000
