"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /students",162,8200,11000,12000,14000,16000,18000,20000,20000,20000
"POST : new student",393,82,1100,3400,4100,6400,8800,11000,11000,12000
"DELETE : remove student",108,5600,8600,11000,11000,13000,14000,15000,15000,15000
"GET : single student",133,7100,9300,11000,11000,12000,13000,15000,15000,15000
"PUT : update student",102,9,690,2000,5900,12000,13000,14000,14000,14000
"Total",898,2300,5900,8000,9500,12000,14000,16000,18000,20000
