Method,Name,# requests,# failures,Median response time,Average response time,Min response time,Max response time,Average Content Size,Requests/s
PUT,/students/update/99999945,1,0,9,9,9,9,78,0.00
PUT,/students/update/99999946,1,0,9,9,9,9,81,0.00
PUT,/students/update/99999947,1,0,12,12,12,12,79,0.00
PUT,/students/update/99999948,1,1,9,9,9,9,0,0.00
PUT,/students/update/99999949,1,0,9,9,9,9,76,0.00
PUT,/students/update/99999950,1,0,18,18,18,18,79,0.00
PUT,/students/update/99999951,1,0,10,10,10,10,75,0.00
PUT,/students/update/99999952,1,0,13,13,13,13,74,0.00
PUT,/students/update/99999953,2,1,13,507,13,1002,37,0.01
PUT,/students/update/99999954,1,0,10,10,10,10,73,0.00
PUT,/students/update/99999955,1,1,11,11,11,11,0,0.00
PUT,/students/update/99999956,1,0,11,11,11,11,79,0.00
PUT,/students/update/99999957,1,0,13,13,13,13,78,0.00
PUT,/students/update/99999958,1,0,12,12,12,12,83,0.00
PUT,/students/update/99999959,1,0,18,18,18,18,77,0.00
PUT,/students/update/99999960,1,0,11,11,11,11,74,0.00
PUT,/students/update/99999961,1,0,10,10,10,10,75,0.00
PUT,/students/update/99999962,1,0,17,17,17,17,75,0.00
PUT,/students/update/99999963,1,0,20,20,20,20,76,0.00
PUT,/students/update/99999964,1,0,10,10,10,10,75,0.00
PUT,/students/update/99999965,1,0,10,10,10,10,82,0.00
PUT,/students/update/99999966,1,0,12,12,12,12,78,0.00
PUT,/students/update/99999967,1,0,11,11,11,11,82,0.00
PUT,/students/update/99999968,1,0,19,19,19,19,81,0.00
PUT,/students/update/99999969,1,0,11,11,11,11,78,0.00
PUT,/students/update/99999970,1,0,9,9,9,9,75,0.00
PUT,/students/update/99999971,1,0,13,13,13,13,78,0.00
PUT,/students/update/99999972,1,0,14,14,14,14,75,0.00
PUT,/students/update/99999974,2,0,18,18,18,19,75,0.01
PUT,/students/update/99999976,2,0,13,16,13,18,75,0.01
PUT,/students/update/99999977,1,0,10,10,10,10,79,0.00
PUT,/students/update/99999978,1,0,10,10,10,10,80,0.00
PUT,/students/update/99999980,2,0,12,16,12,20,71,0.01
PUT,/students/update/99999981,1,0,16,16,16,16,76,0.00
PUT,/students/update/99999982,1,0,12,12,12,12,74,0.00
PUT,/students/update/99999983,1,0,15,15,15,15,80,0.00
PUT,/students/update/99999984,1,0,32,32,32,32,82,0.00
PUT,/students/update/99999985,1,0,11,11,11,11,74,0.00
PUT,/students/update/99999986,1,0,29,29,29,29,76,0.00
PUT,/students/update/99999987,1,0,19,19,19,19,73,0.00
PUT,/students/update/99999988,1,0,12,12,12,12,78,0.00
PUT,/students/update/99999989,1,0,13,13,13,13,73,0.00
PUT,/students/update/99999990,1,0,54,54,54,54,72,0.00
PUT,/students/update/99999991,1,0,11,11,11,11,77,0.00
PUT,/students/update/99999992,1,0,12,12,12,12,80,0.00
PUT,/students/update/99999993,1,0,14,14,14,14,80,0.00
PUT,/students/update/99999994,1,0,12,12,12,12,80,0.00
PUT,/students/update/99999995,1,0,47,47,47,47,69,0.00
PUT,/students/update/99999996,1,0,11,11,11,11,73,0.00
PUT,/students/update/99999997,1,0,14,14,14,14,78,0.00
PUT,/students/update/99999999,2,0,29,48,29,67,76,0.01
None,Total,219,73,12,73,7,1014,50,0.85
