"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"DELETE /students/delete/99999827",1,9,9,9,9,9,9,9,9,9
"DELETE /students/delete/99999828",2,1000,1000,1000,1000,1000,1000,1000,1000,1000
"DELETE /students/delete/99999829",2,1000,1000,1000,1000,1000,1000,1000,1000,1000
"DELETE /students/delete/99999830",1,9,9,9,9,9,9,9,9,9
"DELETE /students/delete/99999831",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999832",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999833",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999835",1,8,8,8,8,8,8,8,8,8
"DELETE /students/delete/99999836",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999838",2,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999839",2,1000,1000,1000,1000,1000,1000,1000,1000,1000
"DELETE /students/delete/99999840",1,9,9,9,9,9,9,9,9,9
"DELETE /students/delete/99999841",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999843",1,12,12,12,12,12,12,12,12,12
"DELETE /students/delete/99999844",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999845",1,9,9,9,9,9,9,9,9,9
"DELETE /students/delete/99999846",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999847",2,1000,1000,1000,1000,1000,1000,1000,1000,1000
"DELETE /students/delete/99999848",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999849",1,9,9,9,9,9,9,9,9,9
"DELETE /students/delete/99999850",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999851",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999852",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999853",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999854",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999855",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999856",1,8,8,8,8,8,8,8,8,8
"DELETE /students/delete/99999857",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999858",1,8,8,8,8,8,8,8,8,8
"DELETE /students/delete/99999859",1,12,12,12,12,12,12,12,12,12
"DELETE /students/delete/99999860",1,11,11,11,11,11,11,11,11,11
"DELETE /students/delete/99999861",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999862",1,10,10,10,10,10,10,10,10,10
"DELETE /students/delete/99999864",1,44,44,44,44,44,44,44,44,44
"DELETE /students/delete/99999866",1,17,17,17,17,17,17,17,17,17
"DELETE /students/delete/99999867",1,15,15,15,15,15,15,15,15,15
"DELETE /students/delete/99999869",1,16,16,16,16,16,16,16,16,16
"DELETE /students/delete/99999870",1,11,11,11,11,11,11,11,11,11
