"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /students",193,1700,2600,3300,3900,4900,6300,8100,8400,8400
"POST : new student",404,11,15,19,27,1000,1000,1000,1700,2300
"DELETE : remove student",140,13,19,160,600,1000,1800,2600,3300,3400
"GET : single student",168,17,56,610,1000,1600,2000,2900,3500,3500
"PUT : update student",117,10,14,16,21,900,1000,1800,2000,2200
"Total",1022,15,150,1000,1000,2000,3300,4900,6200,8400
